FAGES,AMAPO,HELAN,ABUTH,GLYMA,SORBI,B73,ECHCG,SETFA,ERATE,ELCOR,75-062,Oh7B,MS71,B97,H99,Il14H,Ki3,Tx303,Hp301,Mo18,SORSUD
FAGES,0,0.2321,0.25302,0.27096,0.35879,0.43476,0.43787,0.43985,0.43592,0.44622,0.44745,0.43787,0.43787,0.43787,0.43787,0.43787,0.43787,0.43787,0.43787,0.43787,0.43787,0.43476
AMAPO,0.2321,0,0.20952,0.22746,0.31529,0.39126,0.39437,0.39635,0.39242,0.40272,0.40395,0.39437,0.39437,0.39437,0.39437,0.39437,0.39437,0.39437,0.39437,0.39437,0.39437,0.39126
HELAN,0.25302,0.20952,0,0.19116,0.27899,0.35496,0.35807,0.36005,0.35612,0.36642,0.36765,0.35807,0.35807,0.35807,0.35807,0.35807,0.35807,0.35807,0.35807,0.35807,0.35807,0.35496
ABUTH,0.27096,0.22746,0.19116,0,0.24183,0.3537,0.35681,0.35879,0.35486,0.36516,0.36639,0.35681,0.35681,0.35681,0.35681,0.35681,0.35681,0.35681,0.35681,0.35681,0.35681,0.3537
GLYMA,0.35879,0.31529,0.27899,0.24183,0,0.44153,0.44464,0.44662,0.44269,0.45299,0.45422,0.44464,0.44464,0.44464,0.44464,0.44464,0.44464,0.44464,0.44464,0.44464,0.44464,0.44153
SORBI,0.43476,0.39126,0.35496,0.3537,0.44153,0,0.01153,0.03193,0.028,0.04656,0.04779,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.001
B73,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01153
ECHCG,0.43985,0.39635,0.36005,0.35879,0.44662,0.03193,0.03504,0,0.02517,0.05165,0.05288,0.03504,0.03504,0.03504,0.03504,0.03504,0.03504,0.03504,0.03504,0.03504,0.03504,0.03193
SETFA,0.43592,0.39242,0.35612,0.35486,0.44269,0.028,0.03111,0.02517,0,0.04772,0.04895,0.03111,0.03111,0.03111,0.03111,0.03111,0.03111,0.03111,0.03111,0.03111,0.03111,0.028
ERATE,0.44622,0.40272,0.36642,0.36516,0.45299,0.04656,0.04967,0.05165,0.04772,0,0.03561,0.04967,0.04967,0.04967,0.04967,0.04967,0.04967,0.04967,0.04967,0.04967,0.04967,0.04656
ELCOR,0.44745,0.40395,0.36765,0.36639,0.45422,0.04779,0.0509,0.05288,0.04895,0.03561,0,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.0509,0.04779
75-062,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01153
Oh7B,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01153
MS71,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01153
B97,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.01153
H99,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.01153
Il14H,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.01153
Ki3,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.01153
Tx303,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.01153
Hp301,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.01153
Mo18,0.43787,0.39437,0.35807,0.35681,0.44464,0.01153,0.001,0.03504,0.03111,0.04967,0.0509,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.01153
SORSUD,0.43476,0.39126,0.35496,0.3537,0.44153,0.001,0.01153,0.03193,0.028,0.04656,0.04779,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0.01153,0
